,Unnamed: 0,Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP,time,Hướng gió,Nhiệt độ,Áp suất khí quyển,Wind Spd (sai)
0,0,1010.28,25.55,18.57,18.12,98.55,0.01,188.88,19.17,68.232,78.45,264.66,7.48,461.82,3.43,-17.17,1.48,31.02,14/4/2019 07:00:00,,,,
1,1,1011.21,25.17,11.61,17.25,99.62,32.83,194.24,13.49,48.492,58.17,264.66,7.63,595.4,3.43,-3.7,1.55,31.13,14/4/2019 08:00:00,,,,
2,2,1012.36,25.86,8.79,12.04,97.46,311.73,108.6,6.68,30.564,34.38,265.0,5.31,553.42,2.43,3.09,1.24,21.29,14/4/2019 09:00:00,,,,
3,3,1012.66,27.67,11.33,10.91,88.45,532.91,119.74,5.77,30.996,31.16,265.0,4.48,446.55,2.14,8.6,1.78,19.24,14/4/2019 10:00:00,,,,
4,4,1012.78,29.14,5.5,8.91,77.99,610.51,116.88,5.72,23.676,28.68,265.0,3.68,435.1,1.87,33.08,1.56,18.48,14/4/2019 11:00:00,,,,
5,5,1011.23,29.41,13.53,12.03,78.18,343.47,119.9,8.68,47.448,53.6,265.0,5.03,408.38,2.49,14.88,1.4,23.25,14/4/2019 12:00:00,,,,
6,6,1009.65,28.91,7.02,13.06,81.86,124.37,124.78,9.71,41.784,54.71,264.32,5.37,450.37,2.6,6.7,1.61,27.16,14/4/2019 13:00:00,,,,
7,7,1009.69,28.87,4.49,10.76,83.69,254.85,138.83,6.47,16.872,19.55,264.65,4.69,362.58,2.18,7.36,2.65,21.91,14/4/2019 14:00:00,,,,
8,8,1009.71,28.83,4.67,12.42,84.64,209.75,136.05,3.11,12.24,12.02,265.0,4.43,301.52,2.07,3.21,2.26,24.97,14/4/2019 15:00:00,,,,
9,9,1008.63,28.51,4.06,14.29,85.59,79.3,124.73,1.88,14.172,15.98,265.0,4.39,343.5,1.99,-0.35,1.45,29.58,14/4/2019 16:00:00,,,,
10,10,1008.05,28.59,3.22,14.12,85.65,90.39,113.04,1.64,13.584,16.36,265.0,4.42,343.5,1.98,-0.04,1.19,32.63,14/4/2019 17:00:00,,,,
11,11,1007.15,28.4,73.74,17.7,86.41,57.76,108.45,7.31,89.988,27.93,265.0,5.91,312.97,2.73,-12.15,1.06,33.38,14/4/2019 18:00:00,,,,
12,12,1007.98,27.96,65.19,15.46,88.06,10.31,99.07,15.75,81.804,28.23,265.0,5.55,332.05,2.56,-10.39,0.93,28.13,14/4/2019 19:00:00,,,,
13,13,1007.43,27.67,2.34,14.42,89.41,,100.54,5.58,17.796,24.32,264.67,4.53,358.77,2.06,-5.48,0.71,28.63,14/4/2019 20:00:00,,,,
14,14,1010.89,27.6,2.43,15.46,90.23,,107.43,3.25,17.412,23.58,265.0,5.05,377.85,2.34,-4.95,0.96,30.74,14/4/2019 21:00:00,,,,
15,15,1010.67,27.36,1.99,13.3,90.68,,98.68,2.89,15.54,21.31,265.0,4.61,301.52,2.11,-1.94,0.82,25.06,14/4/2019 22:00:00,,,,
16,16,1011.01,27.18,1.95,13.03,91.31,,92.09,1.61,10.164,12.96,265.0,4.92,286.25,2.34,0.1,0.59,24.79,14/4/2019 23:00:00,,,,
17,17,1012.04,26.9,1.89,12.09,93.81,,96.13,1.2,10.56,13.66,265.0,5.45,270.98,2.69,-1.42,0.61,21.89,15/4/2019 00:00:00,,,,
18,18,1011.45,26.7,1.41,12.54,94.54,,102.26,1.14,9.648,12.96,265.0,5.31,251.9,2.66,-1.61,0.66,22.44,15/4/2019 01:00:00,,,,
